"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 12:58:30 MSK 2025","Fri Oct 17 12:58:30 MSK 2025","448","","ru.praktikum.services.scooter.tests.CourierCreationTest","","ru.praktikum.services.scooter.tests.CourierCreationTest","testCreateCourierWithoutPassword","Создание курьера без пароля возвращает ошибку",""
"passed","Fri Oct 17 12:58:37 MSK 2025","Fri Oct 17 12:58:40 MSK 2025","2765","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testLoginWithNonExistentUser","Авторизация под несуществующим пользователем возвращает ошибку",""
"passed","Fri Oct 17 12:58:30 MSK 2025","Fri Oct 17 12:58:32 MSK 2025","1270","","ru.praktikum.services.scooter.tests.CourierCreationTest","","ru.praktikum.services.scooter.tests.CourierCreationTest","testCourierCanBeCreated","Курьера можно создать",""
"passed","Fri Oct 17 12:58:21 MSK 2025","Fri Oct 17 12:58:28 MSK 2025","7005","","ru.praktikum.services.scooter.tests.CourierCreationTest","","ru.praktikum.services.scooter.tests.CourierCreationTest","testCreateCourierWithoutLogin","Создание курьера без логина возвращает ошибку",""
"passed","Fri Oct 17 12:58:43 MSK 2025","Fri Oct 17 12:58:43 MSK 2025","471","","ru.praktikum.services.scooter.tests.OrderCreationTest","","ru.praktikum.services.scooter.tests.OrderCreationTest","testCreateOrderWithDifferentColors[2]","Создание заказа с разными цветами",""
"passed","Fri Oct 17 12:58:35 MSK 2025","Fri Oct 17 12:58:37 MSK 2025","1777","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testSuccessfulLoginReturnsId","Успешный запрос возвращает id",""
"skipped","Fri Oct 17 12:58:35 MSK 2025","Fri Oct 17 12:58:35 MSK 2025","0","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testLoginWithoutPassword","Авторизация без пароля возвращает ошибку",""
"passed","Fri Oct 17 12:58:32 MSK 2025","Fri Oct 17 12:58:33 MSK 2025","1780","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testCourierCanLogin","Курьер может авторизоваться",""
"passed","Fri Oct 17 12:58:40 MSK 2025","Fri Oct 17 12:58:42 MSK 2025","1707","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testLoginWithoutLogin","Авторизация без логина возвращает ошибку",""
"passed","Fri Oct 17 12:58:43 MSK 2025","Fri Oct 17 12:58:44 MSK 2025","640","","ru.praktikum.services.scooter.tests.OrderCreationTest","","ru.praktikum.services.scooter.tests.OrderCreationTest","testCreateOrderWithDifferentColors[3]","Создание заказа с разными цветами",""
"passed","Fri Oct 17 12:58:33 MSK 2025","Fri Oct 17 12:58:35 MSK 2025","1964","","ru.praktikum.services.scooter.tests.CourierLoginTest","","ru.praktikum.services.scooter.tests.CourierLoginTest","testLoginWithWrongPassword","Авторизация с неверным паролем возвращает ошибку",""
"passed","Fri Oct 17 12:58:44 MSK 2025","Fri Oct 17 12:58:51 MSK 2025","6910","","ru.praktikum.services.scooter.tests.OrderListTest","","ru.praktikum.services.scooter.tests.OrderListTest","testGetOrdersListReturnsOrders","В теле ответа возвращается список заказов",""
"passed","Fri Oct 17 12:58:42 MSK 2025","Fri Oct 17 12:58:43 MSK 2025","388","","ru.praktikum.services.scooter.tests.OrderCreationTest","","ru.praktikum.services.scooter.tests.OrderCreationTest","testCreateOrderWithDifferentColors[1]","Создание заказа с разными цветами",""
"passed","Fri Oct 17 12:58:42 MSK 2025","Fri Oct 17 12:58:42 MSK 2025","585","","ru.praktikum.services.scooter.tests.OrderCreationTest","","ru.praktikum.services.scooter.tests.OrderCreationTest","testCreateOrderWithDifferentColors[0]","Создание заказа с разными цветами",""
"passed","Fri Oct 17 12:58:28 MSK 2025","Fri Oct 17 12:58:30 MSK 2025","2015","","ru.praktikum.services.scooter.tests.CourierCreationTest","","ru.praktikum.services.scooter.tests.CourierCreationTest","testCannotCreateDuplicateCourier","Нельзя создать двух одинаковых курьеров",""
"passed","Fri Oct 17 12:58:51 MSK 2025","Fri Oct 17 12:58:51 MSK 2025","1","","ru.praktikum.services.scooter.tests.SimpleTest","","ru.praktikum.services.scooter.tests.SimpleTest","simpleTest","simpleTest",""
